id,x_coord,y_coord,home_compute_node_id,home_x_coord,home_y_coord,assigned_compute_node_id,assigned_x_coord,assigned_y_coord
******国际村1栋二单元,114.06882,22.53239,******特**证券,114.0623146,22.535577,******福华,114.06221,22.53878
******石厦北一街3号石厦北住宅B座,114.04846,22.52626,******景达轩,114.04371,22.53462,******石厦北宿舍,114.04245,22.53167
******石厦东村229号,114.04854,22.52099,******新洲妇幼,114.04049,22.52461,******新洲妇幼,114.04049,22.52461
******石厦股份,114.04914,22.52169,******新天世纪商务中心,114.045309,22.527388,******新天世纪商务中心,114.045309,22.527388
******益强小学教学楼上,114.05116,22.51949,********福保益田名园A,114.04272,22.52348,********福保益田名园A,114.04272,22.52348
******市二医院,114.08264,22.55861,******市二医院,114.07764,22.56361,******市二医院,114.07764,22.56361
******市民中心东翼**博物馆,114.058159,22.54389,******市民东,114.05312,22.54956,******市民东,114.05312,22.54956
******市民东,114.05812,22.54456,********科技广场J,114.06256,22.54801,********大厦,114.074012,22.545288
******市民广场东南侧停车场入口旁智慧灯杆,114.05838,22.541119,******凤凰大厦,114.05661,22.54686,******市民西,114.04866,22.54966
******市民广场北侧台阶东侧新立杆,114.056891,22.543024,******经贸中心,114.05561,22.54972,******金田立交自建机房,114.05445,22.54691
******市民广场北侧台阶西侧新立杆,114.056285,22.542882,******经贸中心,114.05561,22.54972,******福华,114.06221,22.53878
******市民广场西南侧停车场入口旁智慧灯杆2,114.05589,22.54137,******凤凰大厦,114.05661,22.54686,******阳光华苑,114.04789,22.53093
******市民广场南侧停车场入口旁智慧灯杆1,114.05583,22.54133,******凤凰大厦,114.05661,22.54686,******凤凰大厦,114.05661,22.54686
******市民中心连廊上靠东边新立杆,114.056624,22.547715,******中心书城,114.05088,22.55244,******皇岗吉龙二村57栋,114.04984,22.53049
******市民中心连廊上东边北第8根灯支撑杆,114.056335,22.54902,******中心书城,114.05088,22.55244,******中心书城,114.05088,22.55244
