req_id,timestamp,position,compute_demand,max_latency,process_time,allocations,home_room,target_room,type,completed,total_latency,is_success,action,reward
REQ_16739_i,3320.2268219508637,"(32.93024727846555, 85.38360290651471)",20.0,40,23.615813599161683,{'DCN_14': 20.0},DCN_12,DCN_14,infotainment,False,4.582765088947258,True,DCN_14,1.0834469822105484
REQ_16740_i,3320.6511700825235,"(33.68473420522044, 72.01171186175361)",13.126178225936318,30,20.083693053569288,{'DCN_14': 13.126178225936318},ACN_0,DCN_14,infotainment,False,3.6955956456529857,True,DCN_14,1.2608808708694028
REQ_16741_i,3320.7838979850876,"(59.759195939637024, 40.087848010757796)",8.784289846612475,30,15.033497194245147,{'DCN_14': 8.784289846612475},ACN_0,DCN_14,infotainment,False,2.718752429837848,True,DCN_14,1.4562495140324305
REQ_16742_a,3320.9938234199776,"(69.535748779522, 39.910725317400576)",30.469016666502934,20,9.208505078208553,{'ACN_0': 30.469016666502934},ACN_1,ACN_0,adas,False,5.618376938632187,True,ACN_0,0.8763246122735626
REQ_16743_a,3321.2478515332064,"(55.99186447318962, 92.16963922943162)",20.0,30,10.663518910465788,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,4.900737194995922,True,ACN_0,1.0198525610008156
REQ_16744_i,3321.3440583975403,"(59.53307444267304, 98.34735614769076)",15.104568231314184,30,14.489788123147164,{'DCN_6': 15.104568231314184},ACN_0,DCN_6,infotainment,False,5.564327503320634,True,DCN_6,0.8871344993358732
REQ_16745_a,3321.354318293415,"(41.974206258639654, 40.97654255194662)",20.0,25,10.874556835321343,{'ACN_1': 20.0},DCN_9,ACN_1,adas,False,4.39187076373156,True,ACN_1,1.121625847253688
REQ_16746_i,3321.6760112273755,"(60.57353188692765, 90.13937102754107)",15.543638509591602,40,22.758975461174742,{'ACN_1': 15.543638509591602},ACN_0,ACN_1,infotainment,False,6.716934866092396,True,ACN_1,0.6566130267815207
REQ_16747_i,3321.7226182666204,"(31.10974787522394, 48.034037402309615)",20.0,35,22.77131462806307,{'ACN_1': 20.0},ACN_0,ACN_1,infotainment,False,4.587689047981764,True,ACN_1,1.082462190403647
REQ_16748_i,3322.1697068683434,"(30.824645628930803, 92.92184385865006)",18.03652951785854,40,26.939977950621262,{'ACN_0': 18.03652951785854},ACN_0,ACN_0,infotainment,False,4.655285380759381,True,ACN_0,1.0689429238481238
REQ_16749_a,3323.5573670270405,"(19.921145713566954, 72.86221347632667)",20.0,25,9.628849151987762,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,4.755691589473802,True,ACN_0,1.0488616821052394
REQ_16750_i,3323.659672877899,"(44.02386149827954, 56.395706651058774)",20.0,40,20.915899305688875,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.5256093784972755,True,ACN_0,1.2948781243005447
REQ_16751_i,3323.6723076256717,"(84.42621473550653, 38.174301052351126)",20.0,30,20.834393888074775,{'ACN_0': 20.0},ACN_1,ACN_0,infotainment,False,4.30143349859758,True,ACN_0,1.139713300280484
REQ_16752_s,3323.690143103058,"(55.17544707391908, 41.35995513142561)",19.753276631714254,25,2.0453025974617676,{'ACN_0': 19.753276631714254},DCN_16,ACN_0,safety-critical,False,3.2294490177348383,True,ACN_0,1.3541101964530324
REQ_16753_i,3323.6992647191923,"(57.620330669118744, 31.792920606390425)",20.0,30,18.535460156629746,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,4.189492407797726,True,ACN_0,1.1621015184404548
REQ_16754_i,3323.7331901572925,"(54.74231026022255, 26.321680058723437)",15.02931920801775,35,20.07287076559373,{'DCN_7': 15.02931920801775},ACN_0,DCN_7,infotainment,False,3.775512708330747,True,DCN_7,1.2448974583338506
REQ_16755_a,3323.830522910636,"(46.55103456858806, 65.76004329635687)",20.0,20,9.518945664776655,{'DCN_16': 20.0},ACN_0,DCN_16,adas,False,3.576631530041121,True,DCN_16,1.2846736939917758
REQ_16756_i,3324.056455999315,"(47.671755507857135, 70.82180073577503)",20.0,35,19.479796344434696,{'DCN_7': 20.0},DCN_1,DCN_7,infotainment,False,3.4258177744760157,True,DCN_7,1.3148364451047967
REQ_16757_a,3324.342864361106,"(43.82027124721701, 81.46001975269351)",20.0,30,10.166412516004852,{'ACN_1': 20.0},ACN_0,ACN_1,adas,False,5.350674620611629,True,ACN_1,0.9298650758776741
REQ_16758_a,3325.0536196581456,"(77.20989377402095, 39.8171878235672)",30.579115203686065,30,9.924401944921081,{'ACN_0': 30.579115203686065},ACN_1,ACN_0,adas,False,6.015035325999678,True,ACN_0,0.7969929348000644
REQ_16759_i,3325.3498246890026,"(60.80434616050173, 63.209684444016)",20.0,40,16.129261778996245,{'ACN_1': 20.0},ACN_0,ACN_1,infotainment,False,4.283165146877346,True,ACN_1,1.1433669706245309
REQ_16760_i,3325.491367506756,"(57.77308337839971, 80.63085769584228)",16.996787413775444,30,23.862734628566944,{'ACN_0': 16.996787413775444},ACN_1,ACN_0,infotainment,False,5.6268119999485355,True,ACN_0,0.8746376000102929
REQ_16761_i,3325.716563779269,"(62.31233109296224, 78.35437512138326)",17.90635449024657,35,16.445784586035582,{'ACN_0': 17.90635449024657},ACN_1,ACN_0,infotainment,False,5.140527898414406,True,ACN_0,0.9718944203171189
REQ_16762_a,3325.7903217062285,"(61.395204856958465, 68.34657751319804)",20.0,25,9.973348913377256,{'ACN_0': 20.0},ACN_1,ACN_0,adas,False,5.729647925150253,True,ACN_0,0.8540704149699494
REQ_16763_s,3325.958828536431,"(72.0662502263809, 20.96978743520942)",18.514593898777477,15,1.942791110315622,{'ACN_0': 18.514593898777477},DCN_10,ACN_0,safety-critical,False,5.553875773863944,True,ACN_0,0.8892248452272111
REQ_16764_a,3326.1999699793523,"(78.54622205788563, 10.04692091115135)",29.136509909134723,30,10.093402587842728,{'ACN_0': 29.136509909134723},ACN_0,ACN_0,adas,False,7.7907568092457185,True,ACN_0,0.4418486381508562
REQ_16765_s,3326.228115744668,"(84.95244513440157, 11.137484070977795)",21.623213986580836,25,1.9810462624222949,{'DCN_6': 21.623213986580836},ACN_1,DCN_6,safety-critical,False,8.277183866762496,True,DCN_6,0.3445632266475007
REQ_16766_i,3326.370437242108,"(40.95354721675997, 44.58802626650935)",17.16819668239801,35,18.6418150385079,{'DCN_6': 17.16819668239801},DCN_9,DCN_6,infotainment,False,2.526781455150772,True,DCN_6,1.4946437089698454
REQ_16767_i,3326.375309506438,"(1.3510079536055453, 0.0)",20.0,30,17.66075133715415,{'DCN_6': 20.0},ACN_0,DCN_6,infotainment,False,9.076021266858993,True,DCN_6,0.1847957466282013
REQ_16768_i,3326.621004541394,"(44.4621362591955, 48.632992050839064)",20.0,40,14.054730287905112,{'ACN_1': 20.0},ACN_0,ACN_1,infotainment,False,4.006809030479049,True,ACN_1,1.1986381939041901
REQ_16769_i,3326.662600120499,"(28.402010255825267, 47.78688661471083)",20.0,30,18.822736634025876,{'ACN_1': 20.0},ACN_0,ACN_1,infotainment,False,4.886976756545005,True,ACN_1,1.022604648690999
REQ_16770_i,3326.795255056019,"(51.613770850779034, 63.91034800071616)",20.0,30,15.494076621577172,{'ACN_1': 20.0},ACN_0,ACN_1,infotainment,False,5.004383370675312,True,ACN_1,0.9991233258649377
REQ_16771_a,3326.817270826178,"(40.782516510856446, 68.45207853638861)",29.478284404825747,30,9.346948171270364,{'ACN_1': 29.478284404825747},ACN_0,ACN_1,adas,False,5.773701042159033,True,ACN_1,0.8452597915681934
REQ_16772_s,3327.6656456622145,"(35.756884465558855, 69.18357805873873)",20.0,15,2.0431694743488515,{'ACN_1': 20.0},ACN_0,ACN_1,safety-critical,False,5.123293888426198,True,ACN_1,0.9753412223147604
REQ_16773_i,3328.0588632336267,"(34.51954790427106, 78.14241144613787)",15.128329964380363,40,23.59942759756744,{'ACN_1': 15.128329964380363},ACN_0,ACN_1,infotainment,False,4.917125188676547,True,ACN_1,1.0165749622646905
REQ_16774_i,3328.3156502744823,"(5.491199572292937, 66.9839000539201)",16.445804563512766,30,20.84137226494788,{'ACN_0': 16.445804563512766},ACN_0,ACN_0,infotainment,False,4.493394538637244,True,ACN_0,1.1013210922725514
REQ_16775_i,3328.479542198631,"(44.158854764220735, 94.864675748805)",20.0,30,23.225876749880374,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,5.484247106420303,True,ACN_0,0.9031505787159395
REQ_16776_i,3328.5117200754607,"(51.15393557723588, 37.1825310112409)",12.384405568618213,40,17.840333400173996,{'ACN_0': 12.384405568618213},ACN_0,ACN_0,infotainment,False,2.639857456259022,True,ACN_0,1.4720285087481955
REQ_16777_i,3328.7157648906764,"(11.110809381737042, 54.28462230442436)",18.290928939230817,30,19.23050616325355,{'ACN_0': 18.290928939230817},ACN_0,ACN_0,infotainment,False,5.872677228401652,True,ACN_0,0.8254645543196697
REQ_16778_i,3328.888839501172,"(12.796210570123034, 47.83972382592156)",16.13991578217257,40,23.517847553702783,{'ACN_0': 16.13991578217257},ACN_0,ACN_0,infotainment,False,4.744228660360046,True,ACN_0,1.0511542679279908
REQ_16779_i,3328.901219489309,"(13.380368416072939, 53.33921556250614)",14.465540089168883,30,24.594751594803324,{'DCN_6': 14.465540089168883},ACN_0,DCN_6,infotainment,False,5.65470789865547,True,DCN_6,0.869058420268906
REQ_16780_i,3329.1322815367434,"(32.26013867034895, 35.894041096386886)",10.7923668888213,30,18.028277304236347,{'DCN_14': 10.7923668888213},DCN_13,DCN_14,infotainment,False,3.3259410600312878,True,DCN_14,1.3348117879937424
REQ_16781_a,3329.169343063715,"(46.07744267527179, 51.353831504941034)",31.334271806150337,30,8.782338649669105,{'cloud': 31.334271806150337},ACN_0,cloud,adas,False,3.6727132116161583,True,DCN_6,0.26545735767676826
REQ_16782_s,3329.2740181660665,"(75.64748813330986, 3.251534495624997)",20.848520377565297,20,2.0784037428346553,{'ACN_0': 20.848520377565297},ACN_0,ACN_0,safety-critical,False,6.755956984572924,True,ACN_0,0.6488086030854152
REQ_16783_i,3329.5465459588613,"(35.46284486485511, 56.448511461342896)",16.293897425788263,30,22.149896048126024,{'DCN_6': 16.293897425788263},ACN_0,DCN_6,infotainment,False,3.345276793634091,True,DCN_6,1.3309446412731818
REQ_16784_i,3329.6142368989745,"(33.58153044384386, 52.24026554178134)",14.156024255885306,30,16.443111923453653,{'DCN_14': 14.156024255885306},ACN_0,DCN_14,infotainment,False,3.7334460815948534,True,DCN_14,1.2533107836810293
REQ_16785_i,3329.8341012801907,"(64.7882823258412, 57.525977831424925)",20.569782060382593,30,20.824257650296826,{'ACN_0': 20.569782060382593},ACN_1,ACN_0,infotainment,False,5.211476813639846,True,ACN_0,0.9577046372720306
REQ_16786_i,3330.1237129798287,"(63.55832460776074, 66.62177498657852)",17.698621921552586,30,20.774320013197645,{'DCN_7': 17.698621921552586},ACN_1,DCN_7,infotainment,False,5.369609333906183,True,DCN_7,0.9260781332187633
REQ_16787_a,3330.1491205888788,"(16.595962515509605, 28.753191056990314)",20.0,20,10.265386983350714,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,5.310282220519447,True,ACN_0,0.9379435558961104
REQ_16788_s,3330.7914739124967,"(15.461358278031941, 74.29217662774032)",20.0,15,1.9593666931911524,{'ACN_0': 20.0},ACN_0,ACN_0,safety-critical,False,4.53424597301561,True,ACN_0,1.0931508053968781
REQ_16789_i,3331.2423169762283,"(10.372950717863445, 73.9705823588294)",18.91548739294835,40,16.504570290911296,{'ACN_0': 18.91548739294835},ACN_0,ACN_0,infotainment,False,5.147666635338872,True,ACN_0,0.9704666729322255
REQ_16790_a,3331.570193599715,"(19.425112708973224, 74.72501857115064)",20.0,30,9.730542279984178,{'ACN_0': 20.0},ACN_0,ACN_0,adas,False,5.284682408958888,True,ACN_0,0.9430635182082223
REQ_16791_a,3332.4374307572994,"(79.09492285545498, 62.77277180800885)",27.407366704130595,20,9.450254647659133,{'ACN_0': 27.407366704130595},ACN_1,ACN_0,adas,False,5.128229614039803,True,ACN_0,0.9743540771920394
REQ_16792_i,3332.817811425455,"(50.2605617663042, 50.86291409864678)",20.0,35,20.587542909747196,{'DCN_6': 20.0},ACN_0,DCN_6,infotainment,False,3.3127324743387287,True,DCN_6,1.3374535051322543
REQ_16793_i,3332.8462194309195,"(43.33434014477525, 64.02890939118625)",20.0,35,18.8665050036982,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.758753397025912,True,ACN_0,1.2482493205948175
REQ_16794_i,3333.0098815466736,"(44.19013064891549, 63.86378439923892)",20.0,40,18.407490107147666,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,3.8700458170146255,True,ACN_0,1.2259908365970749
REQ_16795_i,3333.016586142186,"(83.69531800432249, 66.2520564189686)",13.190168612630071,35,16.683655676028295,{'ACN_0': 13.190168612630071},ACN_1,ACN_0,infotainment,False,4.843848064623386,True,ACN_0,1.0312303870753228
REQ_16796_a,3333.7554577107867,"(72.2117944448692, 41.970870569515675)",20.0,25,10.41286003495706,{'ACN_0': 20.0},ACN_1,ACN_0,adas,False,4.051699305118515,True,ACN_0,1.189660138976297
REQ_16797_i,3333.9002391123227,"(75.67122874020177, 45.228518551196565)",20.0,35,13.27618858196125,{'DCN_7': 20.0},ACN_1,DCN_7,infotainment,False,5.067374922965243,True,DCN_7,0.9865250154069514
REQ_16798_i,3334.0806761483323,"(78.09154351847292, 34.63397159014842)",13.869136767923269,30,23.54029289964542,{'ACN_0': 13.869136767923269},ACN_1,ACN_0,infotainment,False,5.133580586117957,True,ACN_0,0.9732838827764085
REQ_16799_i,3334.1314941537917,"(33.39926971566491, 76.75972111857601)",20.0,35,20.40613577706461,{'cloud': 20.0},ACN_0,cloud,infotainment,False,2.548308207108811,True,DCN_7,0.4903383585782378
REQ_16800_a,3334.6603416830803,"(72.6809343497885, 55.34880776637245)",20.0,30,8.5702600550068,{'DCN_6': 20.0},ACN_1,DCN_6,adas,False,4.415082337391197,True,DCN_6,1.1169835325217607
REQ_16801_i,3334.6776694275663,"(33.97859349833037, 53.63224049628042)",15.647986591224363,30,20.78294803745086,{'DCN_15': 15.647986591224363},ACN_0,DCN_15,infotainment,False,4.968668803299433,True,DCN_15,1.0062662393401132
REQ_16802_a,3335.787981958457,"(2.4178952780749583, 70.40155524548021)",30.378097737327987,25,10.786769590658743,{'cloud': 30.378097737327987},ACN_0,cloud,adas,False,3.532315812721072,True,ACN_0,0.2935368374557856
REQ_16803_i,3335.9282766780784,"(0.0, 61.467029951483205)",19.552429369964113,40,17.54505463079859,{'DCN_9': 19.552429369964113},ACN_0,DCN_9,infotainment,False,6.901588383903414,True,DCN_9,0.6196823232193172
REQ_16804_s,3336.0707962028027,"(34.76966899718865, 63.49328318236812)",18.40355110556549,15,1.9840558507510377,{'ACN_0': 18.40355110556549},ACN_0,ACN_0,safety-critical,False,4.101799671019215,True,ACN_0,1.179640065796157
REQ_16805_i,3336.105711627402,"(31.606320689552323, 70.01868654850799)",17.95255965284272,35,17.688997084064543,{'ACN_0': 17.95255965284272},ACN_0,ACN_0,infotainment,False,3.6911631307176895,True,ACN_0,1.261767373856462
REQ_16806_s,3336.1149485815636,"(28.21822898571205, 90.68790711836255)",20.0,25,1.9946639171698624,{'ACN_0': 20.0},ACN_0,ACN_0,safety-critical,False,5.193518591120929,True,ACN_0,0.9612962817758142
