req_id,timestamp,position,compute_demand,max_latency,process_time,allocations,home_room,target_room,type,completed,total_latency,is_success,action,reward
REQ_7789_a,2598.7136330475796,"(0.0, 75.585887626019)",31.830636085534223,20,9.709872167510117,{'DCN_14': 31.830636085534223},ACN_0,DCN_14,adas,False,7.269901976969943,True,DCN_14,0.5460196046060113
REQ_7790_a,2598.7236387253697,"(6.077137171258401, 69.76180714055826)",33.385327175823114,20,10.577903017912378,{'cloud': 33.385327175823114},ACN_0,cloud,adas,False,3.8103226402607273,True,DCN_14,0.23793547194785447
REQ_7791_a,2598.7836946161547,"(0.0, 67.09670172674487)",31.734487586527028,20,9.252443065255365,{'ACN_1': 31.734487586527028},ACN_0,ACN_1,adas,False,8.15342639030428,True,ACN_1,0.36931472193914416
REQ_7792_i,2598.9653661494026,"(0.0, 71.93711584106666)",16.47653372052994,30,16.667103709083555,{'DCN_14': 16.47653372052994},ACN_0,DCN_14,infotainment,False,5.300610753411693,True,DCN_14,0.9398778493176614
REQ_7793_s,2599.090889896893,"(5.950120255915968, 73.32627427232363)",22.931335992668426,20,2.0333418433396067,{'ACN_1': 22.931335992668426},ACN_0,ACN_1,safety-critical,False,6.820890467927628,True,ACN_1,0.6358219064144743
REQ_7794_i,2600.027863832754,"(26.728160274408324, 19.639157968602177)",19.075030130835657,40,15.774872579729223,{'DCN_6': 19.075030130835657},ACN_0,DCN_6,infotainment,False,5.028081940309247,True,DCN_6,0.9943836119381506
REQ_7795_a,2600.0722486221016,"(30.764035183674164, 50.29071719767858)",30.170664929976617,30,10.183577456563249,{'ACN_0': 30.170664929976617},ACN_0,ACN_0,adas,False,4.314815813762558,True,ACN_0,1.1370368372474884
REQ_7796_i,2600.3564650465833,"(13.94489484823536, 99.36769184280048)",20.0,35,19.395783455421906,{'DCN_6': 20.0},ACN_0,DCN_6,infotainment,False,6.1292850184817,True,DCN_6,0.7741429963036599
REQ_7797_s,2600.685324416342,"(5.68634025887007, 85.9437560626537)",20.93772658545238,15,1.9297649762955298,{'ACN_1': 20.93772658545238},ACN_0,ACN_1,safety-critical,False,7.914854749312242,True,ACN_1,0.41702905013755154
REQ_7798_a,2600.9737358521493,"(48.78064087674405, 69.67151729318088)",30.526166913143694,20,10.85581355917366,{'ACN_1': 30.526166913143694},DCN_1,ACN_1,adas,False,5.198002399395039,True,ACN_1,0.9603995201209923
REQ_7799_i,2601.0574834731074,"(57.16163941425673, 27.35387963980329)",20.0,35,17.547769021973483,{'ACN_1': 20.0},DCN_10,ACN_1,infotainment,False,4.6455896263698975,True,ACN_1,1.0708820747260206
REQ_7800_i,2601.2769883523206,"(44.956329677757694, 72.99808524905265)",20.0,40,16.605505657724184,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,4.511651586444988,True,ACN_0,1.0976696827110022
REQ_7801_i,2601.6715260922947,"(24.386556539445532, 3.4485877101566658)",19.209784672987983,30,25.078568589860122,{'ACN_0': 19.209784672987983},DCN_11,ACN_0,infotainment,False,5.895675464297729,True,ACN_0,0.8208649071404541
REQ_7802_a,2601.756836640668,"(27.70749278644065, 4.661507855777061)",28.440792949614476,30,10.235024546483316,{'cloud': 28.440792949614476},DCN_11,cloud,adas,False,4.263964797064811,True,ACN_0,0.1472070405870377
REQ_7803_a,2602.8731494241647,"(47.08057195702397, 41.896107228248766)",20.0,30,8.595612014623155,{'ACN_1': 20.0},ACN_0,ACN_1,adas,False,4.566476318268534,True,ACN_1,1.0867047363462932
REQ_7804_a,2603.3740511116393,"(44.69101716323096, 38.28155117733117)",32.535356938591775,30,9.063581709631864,{'ACN_0': 32.535356938591775},ACN_0,ACN_0,adas,False,4.255236571119106,True,ACN_0,1.148952685776179
REQ_7805_i,2603.3768927044807,"(10.518061568702365, 0.02853033780005898)",20.0,30,16.528000403419053,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,8.15795796720581,True,ACN_0,0.3684084065588378
REQ_7806_i,2603.494618869486,"(13.840114224456961, 9.006686560755803)",20.0,35,23.774483821490737,{'ACN_0': 20.0},ACN_0,ACN_0,infotainment,False,6.354917073428421,True,ACN_0,0.7290165853143158
REQ_7807_i,2603.707374315524,"(14.697766026728441, 17.286115906481655)",17.30485114044567,40,23.556438449154495,{'ACN_0': 17.30485114044567},ACN_0,ACN_0,infotainment,False,4.7085492382684935,True,ACN_0,1.0582901523463013
REQ_7808_a,2603.790150337324,"(0.0, 21.15757050398109)",33.24964850850476,30,9.70504481162779,{'ACN_0': 33.24964850850476},ACN_0,ACN_0,adas,False,8.457968064328437,True,ACN_0,0.30840638713431257
REQ_7809_a,2603.9060879517488,"(0.0, 24.454340853629958)",31.539627618528012,20,8.381131660578413,{'ACN_1': 31.539627618528012},ACN_0,ACN_1,adas,False,9.794182644125963,True,ACN_1,0.04116347117480745
REQ_7810_i,2603.986914437176,"(25.292329369086755, 53.550730372479464)",17.74074313104307,40,20.556681328110187,{'ACN_1': 17.74074313104307},DCN_2,ACN_1,infotainment,False,4.939325244649999,True,ACN_1,1.0121349510700002
REQ_7811_i,2604.320229449782,"(14.906343037984655, 33.74466781104996)",20.0,40,21.376866007979412,{'ACN_1': 20.0},ACN_0,ACN_1,infotainment,False,6.9652867710464195,True,ACN_1,0.6069426457907161
REQ_7812_i,2604.912277256394,"(0.9384589173944864, 30.671090343557808)",17.402374521098068,40,20.594175909429698,{'ACN_1': 17.402374521098068},ACN_0,ACN_1,infotainment,False,8.991542142985285,True,ACN_1,0.20169157140294303
REQ_7813_s,2604.9622720929883,"(96.93060161122212, 97.28048881640812)",21.119395664893972,25,2.0370079906081724,{'ACN_0': 21.119395664893972},ACN_1,ACN_0,safety-critical,False,9.38563341514941,True,ACN_0,0.12287331697011794
REQ_7814_i,2604.979406150755,"(27.37878486596388, 37.71451917764319)",18.547047495888975,40,19.24877908319959,{'ACN_0': 18.547047495888975},ACN_0,ACN_0,infotainment,False,3.691853909449814,True,ACN_0,1.2616292181100373
REQ_7815_i,2605.276833958128,"(72.12552847366389, 51.409014068401696)",20.0,40,20.835891823851526,{'ACN_0': 20.0},ACN_1,ACN_0,infotainment,False,3.8972784330015404,True,ACN_0,1.2205443133996918
REQ_7816_i,2605.8264664499975,"(98.65550061171692, 33.49870926285506)",21.75098152487296,30,22.738176988514983,{'DCN_6': 21.75098152487296},ACN_1,DCN_6,infotainment,False,7.402512756703743,True,DCN_6,0.5194974486592514
REQ_7817_i,2606.231087973752,"(94.22622412207636, 46.7352713439157)",14.651592396096898,40,24.96938051425286,{'DCN_6': 14.651592396096898},ACN_1,DCN_6,infotainment,False,6.057842735834155,True,DCN_6,0.7884314528331688
REQ_7818_a,2606.3118305190933,"(14.32363928171515, 30.43890289378578)",20.0,20,10.274089613461754,{'DCN_6': 20.0},ACN_0,DCN_6,adas,False,6.007022503792538,True,DCN_6,0.7985954992414923
REQ_7819_i,2606.4324644562425,"(20.216134041275115, 26.190762471347618)",22.563667760582117,30,17.162751565961308,{'DCN_14': 22.563667760582117},ACN_0,DCN_14,infotainment,False,5.699543260662903,True,DCN_14,0.8600913478674193
REQ_7820_i,2606.577429544089,"(9.383645517992525, 21.058245499948086)",16.983852783720568,30,18.069180549351724,{'ACN_1': 16.983852783720568},ACN_0,ACN_1,infotainment,False,6.393520798033831,True,ACN_1,0.7212958403932337
REQ_7821_i,2606.636373224083,"(15.484913698468057, 18.67417182222079)",13.079188188797364,40,19.140327356919972,{'DCN_6': 13.079188188797364},ACN_0,DCN_6,infotainment,False,4.723951059583564,True,DCN_6,1.0552097880832871
REQ_7822_i,2606.6588596714932,"(85.54848355942224, 59.36485765910675)",11.172502436136007,40,13.727839870081443,{'ACN_1': 11.172502436136007},ACN_1,ACN_1,infotainment,False,3.549721099311943,True,ACN_1,1.2900557801376114
