Model,Success Rate,Avg Reward,Avg Latency All (ms),Avg Latency Success (ms),Processing Time (ms),Resource Utilization (%),Cloud Usage (%),rate
GNN,0.7822801302931596,0.335742301474848,47.80981130663602,37.541884147335345,3.8280388483136534,70.13359468822834,31.439739413680783,8
GNN+LSTM(3),0.875114006514658,0.5126837669992584,42.55815955973127,36.47017789624982,5.382035847724972,78.51831380412662,26.516829533116177,8
GNN+LSTM(5),0.8763300760043431,0.5178337393912276,42.85350353081212,36.844151423330835,5.521118234474936,77.46978317377801,26.88816503800217,8
GNN+LSTM(10),0.8741585233441911,0.5143892483040261,42.548685013975714,36.39269005528706,5.698797658781534,78.17557139889296,26.584147665580893,8
GNN+LSTM(20),0.8694028230184582,0.49842338321828844,42.981276428330936,36.396601596432504,6.28893368666128,79.21876553494862,26.99457111834962,8
GNN+LSTM(30),0.8619761129207383,0.4876055261465046,43.25321798033763,36.28436006815515,6.927692059196945,79.6634198190755,27.287730727470137,8
GNN+Trans(3),0.871400651465798,0.5069905774997924,42.96075029361697,36.183616994530865,6.100285480387436,78.97677651766364,26.8642779587405,8
GNN+Trans(5),0.8709663409337677,0.4949508697858437,43.20110423207284,35.89556211737605,6.296076696936393,80.56579860365055,27.235613463626496,8
GNN+Trans(10),0.8639956568946797,0.49008866313503385,43.07012075133712,35.993382676092146,6.453569414302399,79.63310071445224,27.15526601520087,8
GNN+Trans(20),0.8679261672095548,0.4948713689693392,43.13524611211097,36.42675825062245,7.095765321961443,79.5431961234429,27.137893593919653,8
GNN+Trans(30),0.8556134636264929,0.4633652690145956,43.772363457746714,35.70639988700327,7.742435857087341,80.49455918304716,27.834961997828444,8
